;#;FORM;LEMMA;GRAM;COMMENT;CHECKED;CONTEXT;RIGHT1;RIGHT2;RIGHT3;RIGHT4;RIGHT5;RIGHT6;POS;AUTO_LEMMA;AUTO_GRAM;
21266;# doc = pariskili.2.txt;;;;;;;;;;;;;;;;
21267;# speaker = Ольга;;;;;;;;;;;;;;;;
21268;# sent = 1509;;;;;;;;;;;;;;;;
21269;;Привет;ПРИВЕТ;INTJ;;;   _Привет_ , ребята .;т;е;в;и;р;п;S;ПРИВЕТ;S m inan nom sg;Т
21270;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21271;;ребята;РЕБЯТА;S - anim voc pl;;; Привет , _ребята_ .  ;а;т;я;б;е;р;S;РЕБЯТА;S - anim nom pl;А
21272;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
21273;;;;;;;;;;;;;;;;;
21274;# sent = 1510;;;;;;;;;;;;;;;;
21275;;Ну;НУ;PART;;;.   _Ну_ что , поговорим;у;н;;;;;PART;НУ;PART;У
21276;;что;ЧТО;PART;;;  Ну _что_ , поговорим сегодня;о;т;ч;;;;CONJ;ЧТО;CONJ;О
21277;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21278;;поговорим;ПОГОВОРИТЬ;V pf - pl indic - 1p;;;Ну что , _поговорим_ сегодня о Париже;м;и;р;о;в;о;V;ПОГОВОРИТЬ;V pf - pl imper - 1p;Ь
21279;;сегодня;СЕГОДНЯ;ADV -;;;что , поговорим _сегодня_ о Париже .;я;н;д;о;г;е;ADV;СЕГОДНЯ;ADV -;Я
21280;;о;О;PR;;;, поговорим сегодня _о_ Париже . ;о;;;;;;PR;О;PR;О
21281;;Париже;ПАРИЖ;S m inan loc sg;;;поговорим сегодня о _Париже_ .  ;е;ж;и;р;а;п;S;ПАРИЖ;S m inan loc sg;Ж
21282;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
21283;;;;;;;;;;;;;;;;;
21284;# sent = 1511;;;;;;;;;;;;;;;;
21285;;Может;МОЧЬ;V ipf praes sg indic - 3p;слитно;;.   _Может_ быть , в;т;е;ж;о;м;;V;МОЧЬ;V ipf praes sg indic - 3p;Ь
21286;;быть;БЫТЬ;V ipf - - inf - -;;;  Может _быть_ , в Рождество;ь;т;ы;б;;;V;БЫТЬ;V ipf - - inf - -;Ь
21287;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21288;;в;В;PR;;;Может быть , _в_ Рождество все дороги;в;;;;;;PR;В;PR;В
21289;;Рождество;РОЖДЕСТВО;S n inan acc sg;;;быть , в _Рождество_ все дороги и;о;в;т;с;е;д;S;РОЖДЕСТВО;S n inan acc sg;О
21290;;все;ВЕСЬ;APRO - nom pl plen - -;;;, в Рождество _все_ дороги и ведут;е;с;в;;;;APRO;ВЕСЬ;A - nom pl plen - -;Ь
21291;;дороги;ДОРОГА;S f inan nom pl;;;в Рождество все _дороги_ и ведут в;и;г;о;р;о;д;S;ДОРОГА;S f inan nom pl;А
21292;;и;И;PART;;;Рождество все дороги _и_ ведут в Рим;и;;;;;;CONJ;И;CONJ;И
21293;;ведут;ВЕСТИ;V ipf praes pl indic - 3p;;;все дороги и _ведут_ в Рим ,;т;у;д;е;в;;V;ВЕСТИ;V ipf praes pl indic - 3p;И
21294;;в;В;PR;;;дороги и ведут _в_ Рим , аа;в;;;;;;PR;В;PR;В
21295;;Рим;РИМ;S m inan acc sg;;;и ведут в _Рим_ , аа ,;м;и;р;;;;S;РИМ;S m inan acc sg;М
21296;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21297;;аа;АА;NONLEX;;;в Рим , _аа_ , но в;а;а;;;;;INTJ;АА;NONLEX;А
21298;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21299;;но;НО;CONJ;;;, аа , _но_ в остальные дни;о;н;;;;;CONJ;НО;CONJ;О
21300;;в;В;PR;;;аа , но _в_ остальные дни они;в;;;;;;PR;В;PR;В
21301;;остальные;ОСТАЛЬНОЙ;A - acc pl plen - inan;;;, но в _остальные_ дни они точно;е;ы;н;ь;л;а;A;ОСТАЛЬНОЙ;A - acc pl plen - inan;Й
21302;;дни;ДЕНЬ;S m inan acc pl;;;но в остальные _дни_ они точно ведут;и;н;д;;;;S;ДЕНЬ;S m inan acc pl;Ь
21303;;они;ОНИ;SPRO pl - - nom;;;в остальные дни _они_ точно ведут в;и;н;о;;;;SPRO;ОНИ;SPRO pl - - nom;И
21304;;точно;ТОЧНО;ADV -;;;остальные дни они _точно_ ведут в Париж;о;н;ч;о;т;;ADV;ТОЧНО;ADV -;О
21305;;ведут;ВЕСТИ;V ipf praes pl indic - 3p;;;дни они точно _ведут_ в Париж .;т;у;д;е;в;;V;ВЕСТИ;V ipf praes pl indic - 3p;И
21306;;в;В;PR;;;они точно ведут _в_ Париж . ;в;;;;;;PR;В;PR;В
21307;;Париж;ПАРИЖ;S m inan acc sg;;;точно ведут в _Париж_ .  ;ж;и;р;а;п;;S;ПАРИЖ;S m inan acc sg;Ж
21308;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
21309;;;;;;;;;;;;;;;;;
21310;# sent = 1512;;;;;;;;;;;;;;;;
21311;;Мне;Я;SPRO sg 1p - dat;;;.   _Мне_ кажется , Париж;е;н;м;;;;SPRO;Я;SPRO sg 1p - dat;Я
21312;;кажется;КАЖЕТСЯ;V intr ipf praes sg indic med 3p;;;  Мне _кажется_ , Париж -;я;с;т;е;ж;а;ADV;КАЖЕТСЯ;ADV -;Я
21313;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21314;;Париж;ПАРИЖ;S m inan nom sg;;;Мне кажется , _Париж_ - это самый;ж;и;р;а;п;;S;ПАРИЖ;S m inan nom sg;Ж
21315;;-;-;PUNCT;;;;;;;;;;PUNCT;;;
21316;;это;ЭТО;SPRO n - nom sg;;;, Париж - _это_ самый прекрасный город;о;т;э;;;;SPRO;ЭТО;S n - nom sg;О
21317;;самый;САМЫЙ;APRO nom sg m ;;;Париж - это _самый_ прекрасный город в;й;ы;м;а;с;;A;САМЫЙ;A - nom sg plen m -;Й
21318;;прекрасный;ПРЕКРАСНЫЙ;A - nom sg plen m -;;;- это самый _прекрасный_ город в мире;й;ы;н;с;а;р;A;ПРЕКРАСНЫЙ;A - nom sg plen m -;Й
21319;;город;ГОРОД;S m inan nom sg;;;это самый прекрасный _город_ в мире .;д;о;р;о;г;;S;ГОРОД;S m inan nom sg;Д
21320;;в;В;PR;;;самый прекрасный город _в_ мире . ;в;;;;;;PR;В;PR;В
21321;;мире;МИР;S m inan loc2 sg;;;прекрасный город в _мире_ .  ;е;р;и;м;;;S;МИР;S m inan loc sg;Р
21322;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
21323;;;;;;;;;;;;;;;;;
21324;# sent = 1513;;;;;;;;;;;;;;;;
21325;;Сразу;СРАЗУ;ADV -;;;.   _Сразу_ скажу , что;у;з;а;р;с;;ADV;СРАЗУ;ADV -;У
21326;;скажу;СКАЗАТЬ;V pf fut sg indic - 1p;;;  Сразу _скажу_ , что ...;у;ж;а;к;с;;V;СКАЗАТЬ;V pf fut sg indic - 1p;Ь
21327;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21328;;что;ЧТО;CONJ;;;Сразу скажу , _что_ ... это на;о;т;ч;;;;CONJ;ЧТО;CONJ;О
21329;;...;...;PUNCT;;;;;;;;;;PUNCT;;;
21330;;это;ЭТО;SPRO n - nom sg;;;, что ... _это_ на мой взгляд;о;т;э;;;;SPRO;ЭТО;S n - acc sg;О
21331;;на;НА;PR;;;что ... это _на_ мой взгляд .;а;н;;;;;PR;НА;PR;А
21332;;мой;МОЙ;APRO - acc sg plen m inan;;;... это на _мой_ взгляд . ;й;о;м;;;;APRO;МОЙ;A - acc sg plen m inan;Й
21333;;взгляд;ВЗГЛЯД;S m inan acc sg;;;это на мой _взгляд_ .  ;д;я;л;г;з;в;S;ВЗГЛЯД;S m inan acc sg;Д
21334;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
21335;;;;;;;;;;;;;;;;;
21336;# sent = 1514;;;;;;;;;;;;;;;;
21337;;А;А;PART;;;.   _А_ он , может;а;;;;;;CONJ;А;CONJ;А
21338;;он;ОН;SPRO sg 3p m nom;;;  А _он_ , может быть;н;о;;;;;SPRO;ОН;SPRO sg 3p m nom;Н
21339;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21340;;может;МОЧЬ;V ipf praes sg indic - 3p;слитно;;А он , _может_ быть , для;т;е;ж;о;м;;V;МОЧЬ;V ipf praes sg indic - 3p;Ь
21341;;быть;БЫТЬ;V ipf - - inf - -;;;он , может _быть_ , для кого-то;ь;т;ы;б;;;V;БЫТЬ;V ipf - - inf - -;Ь
21342;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21343;;для;ДЛЯ;PR;;;может быть , _для_ кого-то ещё более;я;л;д;;;;PR;ДЛЯ;PR;Я
21344;;кого-то;КТО-ТО;SPRO - - gen -;;;быть , для _кого-то_ ещё более прекрасен;о;т;-;о;г;о;S;КТО-ТО;S m - gen sg;О
21345;;ещё;ЕЩЕ;ADV -;;;, для кого-то _ещё_ более прекрасен .;ё;щ;е;;;;ADV;ЕЩЕ;ADV -;Е
21346;;более;БОЛЕЕ;ADV -;;;для кого-то ещё _более_ прекрасен . ;е;е;л;о;б;;ADV;БОЛЕЕ;ADV -;Е
21347;;прекрасен;ПРЕКРАСНЫЙ;A - - sg brev m -;;;кого-то ещё более _прекрасен_ .  ;н;е;с;а;р;к;A;ПРЕКРАСНЫЙ;A - - sg brev m -;Й
21348;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
21349;;;;;;;;;;;;;;;;;
21350;# sent = 1515;;;;;;;;;;;;;;;;
21351;;Но;НО;CONJ;;;.   _Но_ Париж , однозначно;о;н;;;;;CONJ;НО;CONJ;О
21352;;Париж;ПАРИЖ;S m inan nom sg;;;  Но _Париж_ , однозначно ,;ж;и;р;а;п;;S;ПАРИЖ;S m inan nom sg;Ж
21353;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21354;;однозначно;ОДНОЗНАЧНО;PARENTH;;;Но Париж , _однозначно_ , субъективен и;о;н;ч;а;н;з;ADV;ОДНОЗНАЧНО;ADV -;О
21355;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21356;;субъективен;СУБЪЕКТИВНЫЙ;A - - sg brev m -;;;, однозначно , _субъективен_ и субъективно позитивен;н;е;в;и;т;к;A;СУБЪЕКТИВНЫЙ;A - - sg brev m -;Й
21357;;и;И;CONJ;;;однозначно , субъективен _и_ субъективно позитивен .;и;;;;;;CONJ;И;CONJ;И
21358;;субъективно;СУБЪЕКТИВНО;ADV -;;;, субъективен и _субъективно_ позитивен . ;о;н;в;и;т;к;ADV;СУБЪЕКТИВНО;ADV -;О
21359;;позитивен;ПОЗИТИВНЫЙ;A - - sg brev m -;;;субъективен и субъективно _позитивен_ .  ;н;е;в;и;т;и;A;ПОЗИТИВНЫЙ;A comp2 - - plen - -;Й
21360;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
21361;;;;;;;;;;;;;;;;;
21362;# sent = 1516;;;;;;;;;;;;;;;;
21363;# speaker = Ольга;;;;;;;;;;;;;;;;
21364;# sent = 1517;;;;;;;;;;;;;;;;
21365;;Прекрасным;ПРЕКРАСНЫЙ;A - ins sg plen m -;;;   _Прекрасным_ Париж делает не;м;ы;н;с;а;р;A;ПРЕКРАСНЫЙ;A - ins sg plen n -;Й
21366;;Париж;ПАРИЖ;S m inan acc sg;;;  Прекрасным _Париж_ делает не только;ж;и;р;а;п;;S;ПАРИЖ;S m inan acc sg;Ж
21367;;делает;ДЕЛАТЬ;V ipf praes sg indic - 3p;;; Прекрасным Париж _делает_ не только архитектура;т;е;а;л;е;д;V;ДЕЛАТЬ;V ipf praes sg indic - 3p;Ь
21368;;не;НЕ;PART;;;Прекрасным Париж делает _не_ только архитектура ,;е;н;;;;;PART;НЕ;PART;Е
21369;;только;ТОЛЬКО;PART;;;Париж делает не _только_ архитектура , может;о;к;ь;л;о;т;PART;ТОЛЬКО;PART;О
21370;;архитектура;АРХИТЕКТУРА;S f inan nom sg;;;делает не только _архитектура_ , может быть;а;р;у;т;к;е;S;АРХИТЕКТУРА;S f inan nom sg;А
21371;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21372;;может;МОЧЬ;V ipf praes sg indic - 3p;слитно;;только архитектура , _может_ быть , и;т;е;ж;о;м;;V;МОЧЬ;V ipf praes sg indic - 3p;Ь
21373;;быть;БЫТЬ;V ipf - - inf - -;;;архитектура , может _быть_ , и в;ь;т;ы;б;;;V;БЫТЬ;V ipf - - inf - -;Ь
21374;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21375;;и;И;PART;;;может быть , _и_ в Мадриде она;и;;;;;;CONJ;И;CONJ;И
21376;;в;В;PR;;;быть , и _в_ Мадриде она не;в;;;;;;PR;В;PR;В
21377;;Мадриде;МАДРИД;S m inan loc2 sg;;;, и в _Мадриде_ она не хуже;е;д;и;р;д;а;S;МАДРИД;S m inan loc sg;Д
21378;;она;ОНА;SPRO sg 3p f nom;;;и в Мадриде _она_ не хуже .;а;н;о;;;;SPRO;ОНА;SPRO sg 3p f nom;А
21379;;не;НЕ;PART;;;в Мадриде она _не_ хуже . ;е;н;;;;;PART;НЕ;PART;Е
21380;;хуже;ПЛОХО;A comp - - - - -;;;Мадриде она не _хуже_ .  ;е;ж;у;х;;;ADV;ПЛОХО;ADV comp;О
21381;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
21382;;;;;;;;;;;;;;;;;
21383;# sent = 1518;;;;;;;;;;;;;;;;
21384;;И;И;CONJ;;;.   _И_ не только музеи;и;;;;;;CONJ;И;CONJ;И
21385;;не;НЕ;PART;;;  И _не_ только музеи -;е;н;;;;;PART;НЕ;PART;Е
21386;;только;ТОЛЬКО;PART;;; И не _только_ музеи - а;о;к;ь;л;о;т;PART;ТОЛЬКО;PART;О
21387;;музеи;МУЗЕЙ;S m inan nom pl;;;И не только _музеи_ - а в;и;е;з;у;м;;S;МУЗЕЙ;S m inan nom pl;Й
21388;;-;-;PUNCT;;;;;;;;;;PUNCT;;;
21389;;а;А;CONJ;;;только музеи - _а_ в Нью-Йорке они;а;;;;;;CONJ;А;CONJ;А
21390;;в;В;PR;;;музеи - а _в_ Нью-Йорке они и;в;;;;;;PR;В;PR;В
21391;;Нью-Йорке;НЬЮ-ЙОРК;S m inan loc2 sg;;;- а в _Нью-Йорке_ они и побогаче;е;к;р;о;й;-;S;НЬЮ-ЙОРК;S m inan loc sg;К
21392;;они;ОНИ;SPRO pl - - nom;;;а в Нью-Йорке _они_ и побогаче будут;и;н;о;;;;SPRO;ОНИ;SPRO pl - - nom;И
21393;;и;И;PART;;;в Нью-Йорке они _и_ побогаче будут .;и;;;;;;CONJ;И;CONJ;И
21394;;побогаче;БОГАТЫЙ;A comp2 - - - - -;;;Нью-Йорке они и _побогаче_ будут . ;е;ч;а;г;о;б;A;БОГАТЫЙ;A comp - - plen - -;Й
21395;;будут;БЫТЬ;V ipf praes pl indic - 3p;;;они и побогаче _будут_ .  ;т;у;д;у;б;;V;БЫТЬ;V ipf praes pl indic - 3p;Ь
21396;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
21397;;;;;;;;;;;;;;;;;
21398;# sent = 1519;;;;;;;;;;;;;;;;
21399;;И;И;CONJ;;;.   _И_ даже не парижанки;и;;;;;;CONJ;И;CONJ;И
21400;;даже;ДАЖЕ;PART;;;  И _даже_ не парижанки -;е;ж;а;д;;;PART;ДАЖЕ;PART;Е
21401;;не;НЕ;PART;;; И даже _не_ парижанки - голландки;е;н;;;;;PART;НЕ;PART;Е
21402;;парижанки;ПАРИЖАНКА;S f anim nom pl;;;И даже не _парижанки_ - голландки ,;и;к;н;а;ж;и;S;ПАРИЖАНКА;S f anim nom pl;А
21403;;-;-;PUNCT;;;;;;;;;;PUNCT;;;
21404;;голландки;ГОЛЛАНДКА;S - anim nom pl;;;не парижанки - _голландки_ , они поинтереснее;и;к;д;н;а;л;S;ГОЛЛАНДКА;S f anim gen sg;А
21405;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21406;;они;ОНИ;SPRO pl - - nom;;;- голландки , _они_ поинтереснее будут .;и;н;о;;;;SPRO;ОНИ;SPRO pl - - nom;И
21407;;поинтереснее;ИНТЕРЕСНО;ADV comp2;;;голландки , они _поинтереснее_ будут . ;е;е;н;с;е;р;ADV;ИНТЕРЕСНО;ADV comp;О
21408;;будут;БЫТЬ;V ipf praes pl indic - 3p;;;, они поинтереснее _будут_ .  ;т;у;д;у;б;;V;БЫТЬ;V ipf praes pl indic - 3p;Ь
21409;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
21410;;;;;;;;;;;;;;;;;
21411;# sent = 1520;;;;;;;;;;;;;;;;
21412;;И;И;CONJ;;;.   _И_ даже себе представляете;и;;;;;;CONJ;И;CONJ;И
21413;;даже;ДАЖЕ;PART;;;  И _даже_ себе представляете ,;е;ж;а;д;;;PART;ДАЖЕ;PART;Е
21414;;себе;СЕБЯ;SPRO - - - dat;;; И даже _себе_ представляете , не;е;б;е;с;;;SPRO;СЕБЯ;SPRO - - - dat;Я
21415;;представляете;ПРЕДСТАВЛЯТЬ;V ipf praes pl indic - 2p;;;И даже себе _представляете_ , не парижский;е;т;е;я;л;в;V;ПРЕДСТАВЛЯТЬ;V ipf praes pl indic - 2p;Ь
21416;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21417;;не;НЕ;PART;;;себе представляете , _не_ парижский Диснейленд .;е;н;;;;;PART;НЕ;PART;Е
21418;;парижский;ПАРИЖСКИЙ;A - nom sg plen m -;;;представляете , не _парижский_ Диснейленд . ;й;и;к;с;ж;и;A;ПАРИЖСКИЙ;A - nom sg plen m -;Й
21419;;Диснейленд;ДИСНЕЙЛЕНД;S m inan nom sg;;;, не парижский _Диснейленд_ .  ;д;н;е;л;й;е;S;ДИСНЕЙЛЕНД;S m inan nom sg;Д
21420;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
21421;;;;;;;;;;;;;;;;;
21422;# sent = 1521;;;;;;;;;;;;;;;;
21423;;А;А;CONJ;;;.   _А_ та самая парижская;а;;;;;;CONJ;А;CONJ;А
21424;;та;ТОТ;APRO nom sg f ;;;  А _та_ самая парижская аура;а;т;;;;;A;ТОТ;A - nom sg plen f -;Т
21425;;самая;САМЫЙ;APRO nom sg f ;;; А та _самая_ парижская аура ,;я;а;м;а;с;;A;САМЫЙ;A - nom sg plen f -;Й
21426;;парижская;ПАРИЖСКИЙ;A - nom sg plen f -;;;А та самая _парижская_ аура , та;я;а;к;с;ж;и;A;ПАРИЖСКИЙ;A - nom sg plen f -;Й
21427;;аура;АУРА;S f inan nom sg;;;та самая парижская _аура_ , та особая;а;р;у;а;;;S;АУРА;S f inan nom sg;А
21428;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21429;;та;ТОТ;APRO nom sg f ;;;парижская аура , _та_ особая атмосфера этого;а;т;;;;;A;ТОТ;A - nom sg plen f -;Т
21430;;особая;ОСОБЫЙ;A - nom sg plen f -;;;аура , та _особая_ атмосфера этого города;я;а;б;о;с;о;A;ОСОБЫЙ;A - nom sg plen f -;Й
21431;;атмосфера;АТМОСФЕРА;S f inan nom sg;;;, та особая _атмосфера_ этого города ,;а;р;е;ф;с;о;S;АТМОСФЕРА;S f inan nom sg;А
21432;;этого;ЭТОТ;APRO - gen sg plen m -;;;та особая атмосфера _этого_ города , атмосфера;о;г;о;т;э;;APRO;ЭТОТ;A - acc sg plen m anim;Т
21433;;города;ГОРОД;S m inan gen sg;;;особая атмосфера этого _города_ , атмосфера легкости;а;д;о;р;о;г;S;ГОРОД;S m inan gen sg;Д
21434;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21435;;атмосфера;АТМОСФЕРА;S f inan nom sg;;;этого города , _атмосфера_ легкости , влюблённости;а;р;е;ф;с;о;S;АТМОСФЕРА;S f inan nom sg;А
21436;;легкости;ЛЕГКОСТЬ;S f inan gen sg;;;города , атмосфера _легкости_ , влюблённости ,;и;т;с;о;к;г;S;ЛЕГКОСТЬ;S f inan loc sg;Ь
21437;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21438;;влюблённости;ВЛЮБЛЕННОСТЬ;S f inan gen sg;;;атмосфера легкости , _влюблённости_ , атмосфера праздника;и;т;с;о;н;н;S;ВЛЮБЛЕННОСТЬ;S f inan gen sg;Ь
21439;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21440;;атмосфера;АТМОСФЕРА;S f inan nom sg;;;, влюблённости , _атмосфера_ праздника . ;а;р;е;ф;с;о;S;АТМОСФЕРА;S f inan nom sg;А
21441;;праздника;ПРАЗДНИК;S m inan gen sg;;;влюблённости , атмосфера _праздника_ .  ;а;к;и;н;д;з;S;ПРАЗДНИК;S m inan gen sg;К
21442;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
21443;;;;;;;;;;;;;;;;;
21444;# sent = 1522;;;;;;;;;;;;;;;;
21445;;Праздника;ПРАЗДНИК;S m inan gen sg;;;.   _Праздника_ , который всегда;а;к;и;н;д;з;S;ПРАЗДНИК;S m inan gen sg;К
21446;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21447;;который;КОТОРЫЙ;APRO - nom sg plen m -;;; Праздника , _который_ всегда с тобой;й;ы;р;о;т;о;APRO;КОТОРЫЙ;A - nom sg plen m -;Й
21448;;всегда;ВСЕГДА;ADVPRO;;;Праздника , который _всегда_ с тобой .;а;д;г;е;с;в;ADV;ВСЕГДА;ADV -;А
21449;;с;С;PR;;;, который всегда _с_ тобой . ;с;;;;;;PR;С;PR;С
21450;;тобой;ТЫ;SPRO sg 2p - ins;;;который всегда с _тобой_ .  ;й;о;б;о;т;;SPRO;ТЫ;SPRO sg 2p - ins;Ы
21451;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
21452;;;;;;;;;;;;;;;;;
21453;# sent = 1523;;;;;;;;;;;;;;;;
21454;;Если;ЕСЛИ;CONJ;;;.   _Если_ бы это сказал;и;л;с;е;;;CONJ;ЕСЛИ;CONJ;И
21455;;бы;БЫ;PART;;;  Если _бы_ это сказал не;ы;б;;;;;PART;БЫ;PART;Ы
21456;;это;ЭТО;SPRO n - acc sg;;; Если бы _это_ сказал не Хемингуэй;о;т;э;;;;SPRO;ЭТО;S n inan acc sg;О
21457;;сказал;СКАЗАТЬ;V pf praet sg indic m -;;;Если бы это _сказал_ не Хемингуэй в;л;а;з;а;к;с;V;СКАЗАТЬ;V pf praet sg indic m -;Ь
21458;;не;НЕ;PART;;;бы это сказал _не_ Хемингуэй в своё;е;н;;;;;PART;НЕ;PART;Е
21459;;Хемингуэй;ХЕМИНГУЭЙ;S m anim nom sg famn;;;это сказал не _Хемингуэй_ в своё время;й;э;у;г;н;и;S;ХЕМИНГУЭЙ;S m anim nom sg;Й
21460;;в;В;PR;;;сказал не Хемингуэй _в_ своё время ,;в;;;;;;PR;В;PR;В
21461;;своё;СВОЙ;APRO - acc sg plen n inan;;;не Хемингуэй в _своё_ время , наверное;ё;о;в;с;;;APRO;СВОЙ;A - acc sg plen n inan;Й
21462;;время;ВРЕМЯ;S n inan acc sg;;;Хемингуэй в своё _время_ , наверное ,;я;м;е;р;в;;S;ВРЕМЯ;S n inan acc sg;Я
21463;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21464;;наверное;НАВЕРНОЕ;PARENTH;;;своё время , _наверное_ , сказала бы;е;о;н;р;е;в;ADV;НАВЕРНОЕ;ADV -;Е
21465;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21466;;сказала;СКАЗАТЬ;V pf praet sg indic f -;;;, наверное , _сказала_ бы я .;а;л;а;з;а;к;V;СКАЗАТЬ;V pf praet sg indic f -;Ь
21467;;бы;БЫ;PART;;;наверное , сказала _бы_ я . ;ы;б;;;;;PART;БЫ;PART;Ы
