;#;FORM;LEMMA;GRAM;COMMENT;CHECKED;CONTEXT;RIGHT1;RIGHT2;RIGHT3;RIGHT4;RIGHT5;RIGHT6;POS;AUTO_LEMMA;AUTO_GRAM;
21468;;я;Я;SPRO sg 1p - nom;;;, сказала бы _я_ .  ;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
21469;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
21470;;;;;;;;;;;;;;;;;
21471;# sent = 1524;;;;;;;;;;;;;;;;
21472;# speaker = Ольга;;;;;;;;;;;;;;;;
21473;# sent = 1525;;;;;;;;;;;;;;;;
21474;;Город;ГОРОД;S m inan nom sg;;;   _Город_ принимает тебя с;д;о;р;о;г;;S;ГОРОД;S m inan nom sg;Д
21475;;принимает;ПРИНИМАТЬ;V ipf praes sg indic - 3p;;;  Город _принимает_ тебя с самой;т;е;а;м;и;н;V;ПРИНИМАТЬ;V ipf praes sg indic - 3p;Ь
21476;;тебя;ТЫ;SPRO sg 2p - acc;;; Город принимает _тебя_ с самой первой;я;б;е;т;;;SPRO;ТЫ;SPRO sg 2p - acc;Ы
21477;;с;С;PR;;;Город принимает тебя _с_ самой первой минуты;с;;;;;;PR;С;PR;С
21478;;самой;САМЫЙ;APRO gen sg plen f ;;;принимает тебя с _самой_ первой минуты ,;й;о;м;а;с;;A;САМЫЙ;A - loc sg plen f -;Й
21479;;первой;ПЕРВЫЙ;ANUM - gen sg plen f -;;;тебя с самой _первой_ минуты , и;й;о;в;р;е;п;A;ПЕРВЫЙ;A - loc sg plen f -;Й
21480;;минуты;МИНУТА;S f inan gen sg;;;с самой первой _минуты_ , и он;ы;т;у;н;и;м;S;МИНУТА;S f inan gen sg;А
21481;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21482;;и;И;CONJ;;;первой минуты , _и_ он обнимает тебя;и;;;;;;CONJ;И;CONJ;И
21483;;он;ОН;SPRO sg 3p m nom;;;минуты , и _он_ обнимает тебя как;н;о;;;;;SPRO;ОН;SPRO sg 3p m nom;Н
21484;;обнимает;ОБНИМАТЬ;V ipf praes sg indic - 3p;;;, и он _обнимает_ тебя как своего;т;е;а;м;и;н;V;ОБНИМАТЬ;V ipf praes sg indic - 3p;Ь
21485;;тебя;ТЫ;SPRO sg 2p - acc;;;и он обнимает _тебя_ как своего старого;я;б;е;т;;;SPRO;ТЫ;SPRO sg 2p - acc;Ы
21486;;как;КАК;CONJ;;;он обнимает тебя _как_ своего старого доброго;к;а;к;;;;CONJ;КАК;CONJ;К
21487;;своего;СВОЙ;APRO - acc sg plen m -;;;обнимает тебя как _своего_ старого доброго друга;о;г;е;о;в;с;APRO;СВОЙ;A - gen sg plen m -;Й
21488;;старого;СТАРЫЙ;A - acc sg plen m -;;;тебя как своего _старого_ доброго друга .;о;г;о;р;а;т;A;СТАРЫЙ;A - gen sg plen m -;Й
21489;;доброго;ДОБРЫЙ;A - acc sg plen m -;;;как своего старого _доброго_ друга . ;о;г;о;р;б;о;A;ДОБРЫЙ;A - gen sg plen m -;Й
21490;;друга;ДРУГ;S m anim acc sg;;;своего старого доброго _друга_ .  ;а;г;у;р;д;;S;ДРУГ;S m anim gen sg;Г
21491;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
21492;;;;;;;;;;;;;;;;;
21493;# sent = 1526;;;;;;;;;;;;;;;;
21494;;Ты;ТЫ;SPRO sg 2p - nom;;;.   _Ты_ не чувствуешь себя;ы;т;;;;;SPRO;ТЫ;SPRO sg 2p - nom;Ы
21495;;не;НЕ;PART;;;  Ты _не_ чувствуешь себя туристом;е;н;;;;;PART;НЕ;PART;Е
21496;;чувствуешь;ЧУВСТВОВАТЬ;V ipf praes sg indic - 2p;;; Ты не _чувствуешь_ себя туристом или;ь;ш;е;у;в;т;V;ЧУВСТВОВАТЬ;V ipf praes sg indic - 2p;Ь
21497;;себя;СЕБЯ;SPRO - - - acc;;;Ты не чувствуешь _себя_ туристом или гостем;я;б;е;с;;;SPRO;СЕБЯ;SPRO - - - acc;Я
21498;;туристом;ТУРИСТ;S m anim ins sg;;;не чувствуешь себя _туристом_ или гостем .;м;о;т;с;и;р;S;ТУРИСТ;S m anim ins sg;Т
21499;;или;ИЛИ;CONJ;;;чувствуешь себя туристом _или_ гостем . ;и;л;и;;;;CONJ;ИЛИ;CONJ;И
21500;;гостем;ГОСТЬ;S m anim ins sg;;;себя туристом или _гостем_ .  ;м;е;т;с;о;г;S;ГОСТЬ;S m anim ins sg;Ь
21501;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
21502;;;;;;;;;;;;;;;;;
21503;# sent = 1527;;;;;;;;;;;;;;;;
21504;;Тем не менее;Тем не менее;PARENTH;;;.   _Тем не менее_ , ты там;е;е;н;е;м; ;PARENTH;Тем не менее;ADV -;е
21505;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21506;;ты;ТЫ;SPRO sg 2p - nom;;; Тем не менее , _ты_ там турист .;ы;т;;;;;SPRO;ТЫ;SPRO sg 2p - nom;Ы
21507;;там;ТАМ;ADVPRO;;;Тем не менее , ты _там_ турист . ;м;а;т;;;;ADV;ТАМ;ADV -;М
21508;;турист;ТУРИСТ;S m anim nom sg;;;, ты там _турист_ .  ;т;с;и;р;у;т;S;ТУРИСТ;S m anim nom sg;Т
21509;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
21510;;;;;;;;;;;;;;;;;
21511;# sent = 1528;;;;;;;;;;;;;;;;
21512;;Турист;ТУРИСТ;S m anim nom sg;;;.   _Турист_ , где всё;т;с;и;р;у;т;S;ТУРИСТ;S m anim nom sg;Т
21513;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21514;;где;ГДЕ;ADVPRO;;; Турист , _где_ всё знакомо ...;е;д;г;;;;ADV;ГДЕ;ADV -;Е
21515;;всё;ВСЕ;SPRO sg nom n;;;Турист , где _всё_ знакомо ... которому;ё;с;в;;;;ADV;ВСЕ;ADV -;Е
21516;;знакомо;ЗНАКОМЫЙ;A - - sg brev n -;;;, где всё _знакомо_ ... которому всё;о;м;о;к;а;н;A;ЗНАКОМЫЙ;A - - sg brev n -;Й
21517;;...;...;PUNCT;;;;;;;;;;PUNCT;;;
21518;;которому;КОТОРЫЙ;APRO - dat sg plen m -;;;всё знакомо ... _которому_ всё знакомо .;у;м;о;р;о;т;APRO;КОТОРЫЙ;A - dat sg plen m -;Й
21519;;всё;ВСЕ;SPRO sg nom n;;;знакомо ... которому _всё_ знакомо . ;ё;с;в;;;;ADV;ВСЕ;ADV -;Е
21520;;знакомо;ЗНАКОМЫЙ;A - - sg brev n -;;;... которому всё _знакомо_ .  ;о;м;о;к;а;н;A;ЗНАКОМЫЙ;A - - sg brev n -;Й
21521;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
21522;;;;;;;;;;;;;;;;;
21523;# sent = 1529;;;;;;;;;;;;;;;;
21524;;Вот;ВОТ;PART;;;.   _Вот_ Эйфелева башня -;т;о;в;;;;PART;ВОТ;PART;Т
21525;;Эйфелева;ЭЙФЕЛЕВ;A - nom sg plen f -;;;  Вот _Эйфелева_ башня - точно;а;в;е;л;е;ф;A;ЭЙФЕЛЕВ;A - nom sg plen f -;В
21526;;башня;БАШНЯ;S f inan nom sg;;; Вот Эйфелева _башня_ - точно такая;я;н;ш;а;б;;S;БАШНЯ;S f inan nom sg;Я
21527;;-;-;PUNCT;;;;;;;;;;PUNCT;;;
21528;;точно;ТОЧНО;ADV -;;;Эйфелева башня - _точно_ такая же ,;о;н;ч;о;т;;CONJ;ТОЧНО;CONJ;О
21529;;такая;ТАКОЙ;APRO - nom sg plen f -;;;башня - точно _такая_ же , как;я;а;к;а;т;;APRO;ТАКОЙ;A - nom sg plen f -;Й
21530;;же;ЖЕ;PART;;;- точно такая _же_ , как ты;е;ж;;;;;PART;ЖЕ;PART;Е
21531;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21532;;как;КАК;CONJ;;;такая же , _как_ ты её себе;к;а;к;;;;CONJ;КАК;CONJ;К
21533;;ты;ТЫ;SPRO sg 2p - nom;;;же , как _ты_ её себе и;ы;т;;;;;SPRO;ТЫ;SPRO sg 2p - nom;Ы
21534;;её;ОНА;SPRO sg 3p f acc;;;, как ты _её_ себе и представлял;ё;е;;;;;SPRO;ОНА;SPRO sg 3p f acc;А
21535;;себе;СЕБЯ;SPRO - - - dat;;;как ты её _себе_ и представлял ,;е;б;е;с;;;SPRO;СЕБЯ;SPRO - - - dat;Я
21536;;и;И;PART;;;ты её себе _и_ представлял , когда;и;;;;;;CONJ;И;CONJ;И
21537;;представлял;ПРЕДСТАВЛЯТЬ;V ipf praet sg indic m -;;;её себе и _представлял_ , когда разглядывал;л;я;л;в;а;т;V;ПРЕДСТАВЛЯТЬ;V ipf praet sg indic m -;Ь
21538;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21539;;когда;КОГДА;CONJ;;;и представлял , _когда_ разглядывал картинки .;а;д;г;о;к;;CONJ;КОГДА;CONJ;А
21540;;разглядывал;РАЗГЛЯДЫВАТЬ;V ipf praet sg indic m -;;;представлял , когда _разглядывал_ картинки . ;л;а;в;ы;д;я;V;РАЗГЛЯДЫВАТЬ;V ipf praet sg indic m -;Ь
21541;;картинки;КАРТИНКА;S f inan acc pl;;;, когда разглядывал _картинки_ .  ;и;к;н;и;т;р;S;КАРТИНКА;S f inan acc pl;А
21542;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
21543;;;;;;;;;;;;;;;;;
21544;# sent = 1530;;;;;;;;;;;;;;;;
21545;;А;А;PART;;;.   _А_ вот Марсово поле;а;;;;;;CONJ;А;CONJ;А
21546;;вот;ВОТ;PART;;;  А _вот_ Марсово поле ,;т;о;в;;;;PART;ВОТ;PART;Т
21547;;Марсово;МАРСОВЫЙ;A - acc sg plen n inan;;; А вот _Марсово_ поле , где;о;в;о;с;р;а;A;МАРСОВЫЙ;A - acc sg plen n inan;Й
21548;;поле;ПОЛЕ;S n inan nom sg;;;А вот Марсово _поле_ , где парижане;е;л;о;п;;;S;ПОЛЕ;S n inan acc sg;Е
21549;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21550;;где;ГДЕ;ADVPRO;;;Марсово поле , _где_ парижане и парижанки;е;д;г;;;;ADV;ГДЕ;ADV -;Е
21551;;парижане;ПАРИЖАНИН;S m anim nom pl;;;поле , где _парижане_ и парижанки ...;е;н;а;ж;и;р;S;ПАРИЖАНИН;S m anim nom pl;Н
21552;;и;И;CONJ;;;, где парижане _и_ парижанки ... отдыхают;и;;;;;;CONJ;И;CONJ;И
21553;;парижанки;ПАРИЖАНКА;S f anim nom pl;;;где парижане и _парижанки_ ... отдыхают ,;и;к;н;а;ж;и;S;ПАРИЖАНКА;S m inan gen sg;А
21554;;...;...;PUNCT;;;;;;;;;;PUNCT;;;
21555;;отдыхают;ОТДЫХАТЬ;V ipf praes pl indic - 3p;;;и парижанки ... _отдыхают_ , летом лёжа;т;ю;а;х;ы;д;V;ОТДЫХАТЬ;V ipf praes pl indic - 3p;Ь
21556;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21557;;летом;ЛЕТО;S n inan ins sg;;;... отдыхают , _летом_ лёжа прямо на;м;о;т;е;л;;S;ЛЕТО;S n inan ins sg;О
21558;;лёжа;ЛЕЖА;ADV -;;;отдыхают , летом _лёжа_ прямо на траве;а;ж;ё;л;;;ADV;ЛЕЖА;ADV -;А
21559;;прямо;ПРЯМО;PART;;;, летом лёжа _прямо_ на траве загорают;о;м;я;р;п;;PART;ПРЯМО;PART;О
21560;;на;НА;PR;;;летом лёжа прямо _на_ траве загорают ,;а;н;;;;;PR;НА;PR;А
21561;;траве;ТРАВА;S f inan loc2 sg;;;лёжа прямо на _траве_ загорают , читают;е;в;а;р;т;;S;ТРАВА;S f inan loc sg;А
21562;;загорают;ЗАГОРАТЬ;V ipf praes pl indic - 3p;;;прямо на траве _загорают_ , читают ,;т;ю;а;р;о;г;V;ЗАГОРАТЬ;V ipf praes pl indic - 3p;Ь
21563;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21564;;читают;ЧИТАТЬ;V ipf praes pl indic - 3p;;;траве загорают , _читают_ , целуются .;т;ю;а;т;и;ч;V;ЧИТАТЬ;V ipf praes pl indic - 3p;Ь
21565;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21566;;целуются;ЦЕЛОВАТЬСЯ;V ipf praes pl indic - 3p;;;, читают , _целуются_ .  ;я;с;т;ю;у;л;V;ЦЕЛОВАТЬСЯ;V ipf praes pl indic - 3p;Я
21567;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
21568;;;;;;;;;;;;;;;;;
21569;# sent = 1531;;;;;;;;;;;;;;;;
21570;;Или;ИЛИ;CONJ;;;.   _Или_ просто смотрят на;и;л;и;;;;CONJ;ИЛИ;CONJ;И
21571;;просто;ПРОСТО;PART;;;  Или _просто_ смотрят на верхушку;о;т;с;о;р;п;PART;ПРОСТО;PART;О
21572;;смотрят;СМОТРЕТЬ;V ipf praes pl indic - 3p;;; Или просто _смотрят_ на верхушку Эйфелевой;т;я;р;т;о;м;V;СМОТРЕТЬ;V ipf praes pl indic - 3p;Ь
21573;;на;НА;PR;;;Или просто смотрят _на_ верхушку Эйфелевой башни;а;н;;;;;PR;НА;PR;А
21574;;верхушку;ВЕРХУШКА;S f inan acc sg;;;просто смотрят на _верхушку_ Эйфелевой башни .;у;к;ш;у;х;р;S;ВЕРХУШКА;S f inan acc sg;А
21575;;Эйфелевой;ЭЙФЕЛЕВЫЙ;A - gen sg plen f -;;;смотрят на верхушку _Эйфелевой_ башни . ;й;о;в;е;л;е;A;ЭЙФЕЛЕВЫЙ;A - gen sg plen f -;Й
21576;;башни;БАШНЯ;S f inan gen sg;;;на верхушку Эйфелевой _башни_ .  ;и;н;ш;а;б;;S;БАШНЯ;S f inan gen sg;Я
21577;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
21578;;;;;;;;;;;;;;;;;
21579;# sent = 1532;;;;;;;;;;;;;;;;
21580;;Даже;ДАЖЕ;PART;;;.   _Даже_ , может быть;е;ж;а;д;;;PART;ДАЖЕ;PART;Е
21581;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21582;;может;МОЧЬ;V ipf praes sg indic - 3p;слитно;; Даже , _может_ быть , и;т;е;ж;о;м;;V;МОЧЬ;V ipf praes sg indic - 3p;Ь
21583;;быть;БЫТЬ;V ipf - - inf - -;;;Даже , может _быть_ , и не;ь;т;ы;б;;;V;БЫТЬ;V ipf - - inf - -;Ь
21584;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21585;;и;И;PART;;;может быть , _и_ не подразумевая ,;и;;;;;;CONJ;И;CONJ;И
21586;;не;НЕ;PART;;;быть , и _не_ подразумевая , что;е;н;;;;;PART;НЕ;PART;Е
21587;;подразумевая;ПОДРАЗУМЕВАТЬ;V ipf praes - ger - -;;;, и не _подразумевая_ , что оттуда;я;а;в;е;м;у;V;ПОДРАЗУМЕВАТЬ;V ipf praes - ger - -;Ь
21588;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21589;;что;ЧТО;CONJ;;;не подразумевая , _что_ оттуда кто-то на;о;т;ч;;;;CONJ;ЧТО;CONJ;О
21590;;оттуда;ОТТУДА;ADVPRO;;;подразумевая , что _оттуда_ кто-то на них;а;д;у;т;т;о;ADV;ОТТУДА;ADV -;А
21591;;кто-то;КТО-ТО;SPRO - - nom -;;;, что оттуда _кто-то_ на них и;о;т;-;о;т;к;S;КТО-ТО;S m - nom sg;О
21592;;на;НА;PR;;;что оттуда кто-то _на_ них и плюёт;а;н;;;;;PR;НА;PR;А
21593;;них;ОНИ;SPRO pl - - acc;;;оттуда кто-то на _них_ и плюёт ;х;и;н;;;;SPRO;ОНИ;SPRO pl - - loc;И
21594;;и;И;PART;;;кто-то на них _и_ плюёт  смеётся;и;;;;;;CONJ;И;CONJ;И
21595;;плюёт;ПЛЕВАТЬ;V ipf praes sg indic - 3p;;;на них и _плюёт_  смеётся ;т;ё;ю;л;п;;V;ПЛЕВАТЬ;V ipf praes sg indic - 3p;Ь
21596;"<span class=""note"">";;;;;;;;;;;;;;;;
21597;<note>;смеётся;;;;;;;;;;;;;;;
21598;</span>;;;;;;;;;;;;;;;;
21599;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
21600;;;;;;;;;;;;;;;;;
21601;# sent = 1533;;;;;;;;;;;;;;;;
21602;;Вот;ВОТ;PART;;;.   _Вот_ вечно шумный и;т;о;в;;;;PART;ВОТ;PART;Т
21603;;вечно;ВЕЧНО;ADV -;;;  Вот _вечно_ шумный и весёлый;о;н;ч;е;в;;ADV;ВЕЧНО;ADV -;О
21604;;шумный;ШУМНЫЙ;A - nom sg plen m -;;; Вот вечно _шумный_ и весёлый ,;й;ы;н;м;у;ш;A;ШУМНЫЙ;A - nom sg plen m -;Й
21605;;и;И;CONJ;;;Вот вечно шумный _и_ весёлый , бурлящий;и;;;;;;CONJ;И;CONJ;И
21606;;весёлый;ВЕСЕЛЫЙ;A - nom sg plen m -;;;вечно шумный и _весёлый_ , бурлящий ,;й;ы;л;ё;с;е;A;ВЕСЕЛЫЙ;A - nom sg plen m -;Й
21607;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21608;;бурлящий;БУРЛИТЬ;V partcp ipf praes nom sg plen m act inan;;;и весёлый , _бурлящий_ , я бы;й;и;щ;я;л;р;PARTCP;БУРЛИТЬ;PARTCP ipf inpraes acc sg plen m act inan;Ь
21609;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21610;;я;Я;SPRO sg 1p - nom;;;, бурлящий , _я_ бы сказала ,;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
21611;;бы;БЫ;PART;;;бурлящий , я _бы_ сказала , Champs;ы;б;;;;;PART;БЫ;PART;Ы
21612;;сказала;СКАЗАТЬ;V pf praet sg indic f -;;;, я бы _сказала_ , Champs -;а;л;а;з;а;к;V;СКАЗАТЬ;V pf praet sg indic f -;Ь
21613;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21614;;Champs;;;;;бы сказала , _Champs_ - ?lys?es с;s;p;m;a;h;c;NONLEX;CHAMPS;NONLEX;
21615;;-;-;PUNCT;;;;;;;;;;PUNCT;;;
21616;;?lys?es;;;;;, Champs - _?lys?es_ с Триумфальной Аркой;s;e;?;s;y;l;NONLEX;?LYS?ES;NONLEX;
21617;;с;С;PR;;;Champs - ?lys?es _с_ Триумфальной Аркой .;с;;;;;;PR;С;PR;С
21618;;Триумфальной;ТРИУМФАЛЬНЫЙ;A - ins sg plen f -;;;- ?lys?es с _Триумфальной_ Аркой . ;й;о;н;ь;л;а;A;ТРИУМФАЛЬНЫЙ;A - ins sg plen f -;Й
21619;;Аркой;АРКА;S f inan ins sg;;;?lys?es с Триумфальной _Аркой_ .  ;й;о;к;р;а;;S;АРКА;S f inan ins sg;А
21620;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
21621;;;;;;;;;;;;;;;;;
21622;# sent = 1534;;;;;;;;;;;;;;;;
21623;;Сколько;СКОЛЬКО;NUM nom;;;.   _Сколько_ , казалось бы;о;к;ь;л;о;к;ADV;СКОЛЬКО;ADV -;О
21624;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21625;;казалось;КАЗАТЬСЯ;V ipf praet sg indic n -;;; Сколько , _казалось_ бы , их;ь;с;о;л;а;з;V;КАЗАТЬСЯ;V ipf praet sg indic n -;Я
21626;;бы;БЫ;PART;;;Сколько , казалось _бы_ , их в;ы;б;;;;;PART;БЫ;PART;Ы
21627;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21628;;их;ОНИ;SPRO pl - - gen;;;казалось бы , _их_ в мире -;х;и;;;;;SPRO;ОНИ;SPRO pl - - acc;И
21629;;в;В;PR;;;бы , их _в_ мире - этих;в;;;;;;PR;В;PR;В
21630;;мире;МИР;S m inan loc2 sg;;;, их в _мире_ - этих Триумфальных;е;р;и;м;;;S;МИР;S m inan loc sg;Р
21631;;-;-;PUNCT;;;;;;;;;;PUNCT;;;
21632;;этих;ЭТОТ;APRO - gen pl plen - -;;;в мире - _этих_ Триумфальных арок ,;х;и;т;э;;;APRO;ЭТОТ;A - gen pl plen - -;Т
21633;;Триумфальных;ТРИУМФАЛЬНЫЙ;A - gen pl plen - -;;;мире - этих _Триумфальных_ арок , мда;х;ы;н;ь;л;а;A;ТРИУМФАЛЬНЫЙ;A - gen pl plen - -;Й
21634;;арок;АРКА;S f inan gen pl;;;- этих Триумфальных _арок_ , мда ,;к;о;р;а;;;S;АРКА;S f inan gen pl;А
21635;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21636;;мда;МДА;INTJ;;;Триумфальных арок , _мда_ , но и;а;д;м;;;;INTJ;МДА;INTJ;А
21637;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21638;;но;НО;CONJ;;;, мда , _но_ и в Париже;о;н;;;;;CONJ;НО;CONJ;О
21639;;и;И;PART;;;мда , но _и_ в Париже их;и;;;;;;CONJ;И;CONJ;И
21640;;в;В;PR;;;, но и _в_ Париже их несколько;в;;;;;;PR;В;PR;В
21641;;Париже;ПАРИЖ;S m inan loc2 sg;;;но и в _Париже_ их несколько ,;е;ж;и;р;а;п;S;ПАРИЖ;S m inan loc sg;Ж
21642;;их;ОНИ;SPRO pl - - gen;;;и в Париже _их_ несколько , но;х;и;;;;;SPRO;ОНИ;SPRO pl - - acc;И
21643;;несколько;НЕСКОЛЬКО;NUM nom;;;в Париже их _несколько_ , но это;о;к;ь;л;о;к;ADV;НЕСКОЛЬКО;ADV -;О
21644;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21645;;но;НО;CONJ;;;их несколько , _но_ это именно та;о;н;;;;;CONJ;НО;CONJ;О
21646;;это;ЭТО;SPRO n - nom sg;;;несколько , но _это_ именно та самая;о;т;э;;;;SPRO;ЭТО;S n - nom sg;О
21647;;именно;ИМЕННО;PART;;;, но это _именно_ та самая .;о;н;н;е;м;и;PART;ИМЕННО;PART;О
21648;;та;ТОТ;APRO nom sg f ;;;но это именно _та_ самая . ;а;т;;;;;A;ТОТ;A - nom sg plen f -;Т
21649;;самая;САМЫЙ;APRO nom sg f ;;;это именно та _самая_ .  ;я;а;м;а;с;;A;САМЫЙ;A - nom sg plen f -;Й
21650;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
21651;;;;;;;;;;;;;;;;;
21652;# sent = 1535;;;;;;;;;;;;;;;;
21653;;Она;ОНА;SPRO sg 3p f nom;;;.   _Она_ .  ;а;н;о;;;;SPRO;ОНА;SPRO sg 3p f nom;А
21654;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
21655;;;;;;;;;;;;;;;;;
21656;# sent = 1536;;;;;;;;;;;;;;;;
21657;;Единственная;ЕДИНСТВЕННЫЙ;A - nom sg plen f -;;;.   _Единственная_ , неповторимая ,;я;а;н;н;е;в;A;ЕДИНСТВЕННЫЙ;A - nom sg plen f -;Й
21658;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21659;;неповторимая;НЕПОВТОРИМЫЙ;A - nom sg plen f -;;; Единственная , _неповторимая_ , настоящая ,;я;а;м;и;р;о;A;НЕПОВТОРИМЫЙ;A - nom sg plen f -;Й
21660;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21661;;настоящая;НАСТОЯЩИЙ;A - nom sg plen f -;;;, неповторимая , _настоящая_ , через которую;я;а;щ;я;о;т;A;НАСТОЯЩИЙ;A - nom sg plen f -;Й
21662;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21663;;через;ЧЕРЕЗ;PR;;;, настоящая , _через_ которую Наполеон .;з;е;р;е;ч;;PR;ЧЕРЕЗ;PR;З
21664;;которую;КОТОРЫЙ;APRO - acc sg plen f -;;;настоящая , через _которую_ Наполеон . ;ю;у;р;о;т;о;APRO;КОТОРЫЙ;A - acc sg plen f -;Й
21665;;Наполеон;НАПОЛЕОН;S m anim nom sg persn;;;, через которую _Наполеон_ .  ;н;о;е;л;о;п;S;НАПОЛЕОН;S m anim nom sg;Н
21666;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
21667;;;;;;;;;;;;;;;;;
21668;# sent = 1537;;;;;;;;;;;;;;;;
21669;;А;А;PART;;;.   _А_ вот и Лувр;а;;;;;;CONJ;А;CONJ;А
